id_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1352979,385000.0,40.0,RUE DE LA JUSTICE,75020.0,58.0,3.0,2.407601,48.868473
2022-1352980,1530000.0,106.0,RUE JOUFFROY D'ABBANS,75017.0,105.0,3.0,2.301959,48.882529
2022-1352981,328000.0,16.0,RUE LUCIEN SAMPAIX,75010.0,34.0,1.0,2.360901,48.87189
2022-1352982,190000.0,101.0,RUE DU FBG SAINT DENIS,75010.0,19.0,1.0,2.355141,48.874902
2022-1352983,530000.0,49.0,RUE PAJOL,75018.0,66.0,3.0,2.362389,48.889438
2022-1352984,302000.0,7.0,RUE DU MAIL,75002.0,25.0,1.0,2.34193,48.866846
2022-1352985,524000.0,40.0,RUE D HAUTPOUL,75019.0,63.0,3.0,2.388699,48.883747
2022-1352986,17714.0,136.0,RUE CHAMPIONNET,75018.0,27.0,1.0,2.337042,48.89574
2022-1352987,180000.0,4.0,RUE SQUARE CARPEAUX,75018.0,16.0,1.0,2.333201,48.892588
2022-1352988,80000000.0,1.0,RUE FRANCOIS 1ER,75008.0,39.0,3.0,2.309517,48.865119
2022-1352988,80000000.0,1.0,RUE FRANCOIS 1ER,75008.0,59.0,2.0,2.309517,48.865119
2022-1352988,80000000.0,1.0,RUE FRANCOIS 1ER,75008.0,248.0,7.0,2.309517,48.865119
2022-1352988,80000000.0,1.0,RUE FRANCOIS 1ER,75008.0,172.0,4.0,2.309517,48.865119
2022-1352989,400000.0,9.0,BD MORLAND,75004.0,27.0,1.0,2.364563,48.848333
2022-1352990,543690.0,4.0,CITE PIGALLE,75009.0,46.0,1.0,2.334178,48.880228
2022-1352991,697000.0,19.0,RUE DUHESME,75018.0,65.0,3.0,2.338231,48.890914
2022-1352992,1611000.0,66.0,RUE DES MATHURINS,75008.0,118.0,3.0,2.321082,48.873649
2022-1352993,965000.0,21.0,RUE VICTOR MASSE,75009.0,75.0,4.0,2.338247,48.880612
2022-1352994,1365500.0,84.0,RUE DE TURENNE,75003.0,100.0,4.0,2.364917,48.861057
2022-1352995,1200.0,3.0,RUE POULET,75018.0,40.0,2.0,2.347966,48.886723
2022-1352997,887550.0,54.0,RUE DE DUNKERQUE,75009.0,71.0,3.0,2.347982,48.881911
2022-1352999,590000.0,14.0,PAS LATHUILLE,75018.0,48.0,3.0,2.328022,48.884655
2022-1353000,155526.0,151.0,RUE SAINT MARTIN,75003.0,29.0,1.0,2.351545,48.861952
2022-1353001,405000.0,41.0,RUE BOURSAULT,75017.0,36.0,3.0,2.318869,48.88474
2022-1353002,187575.0,87.0,RUE PELLEPORT,75020.0,22.0,1.0,2.400045,48.869331
2022-1353003,355000.0,42.0,RUE DOUDEAUVILLE,75018.0,32.0,2.0,2.354865,48.888791
2022-1353005,465000.0,9.0,RUE BOCHART DE SARON,75009.0,30.0,2.0,2.341837,48.882132
2022-1353006,350000.0,6.0,RUE DULONG,75017.0,29.0,1.0,2.3182,48.883639
2022-1353008,420000.0,14.0,RUE CHAPTAL,75009.0,33.0,4.0,2.333516,48.881051
2022-1353009,344000.0,115.0,RUE LA FAYETTE,75010.0,29.0,2.0,2.352668,48.878439
2022-1353010,525400.0,7.0,RUE CONSTANCE,75018.0,45.0,3.0,2.333234,48.885374
2022-1353012,129000.0,20.0,RUE DE L EQUERRE,75019.0,15.0,1.0,2.38239,48.874331
2022-1353013,260000.0,82.0,BD DE BELLEVILLE,75020.0,21.0,2.0,2.379834,48.870032
