id_mutation,type_local,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1353129,Appartement,133000.0,40.0,RUE DU DOCTEUR HEULIN,75017.0,13.0,1.0,2.324759,48.891013
2022-1353130,Appartement,329920.0,6.0,RUE LE REGRATTIER,75004.0,20.0,2.0,2.354676,48.851911
2022-1353132,Appartement,454900.0,39.0,RUE ALPHONSE PENAUD,75020.0,62.0,3.0,2.405847,48.868551
2022-1353134,Appartement,600000.0,71.0,RUE DU FBG ST MARTIN,75010.0,58.0,3.0,2.357044,48.872284
2022-1353137,Appartement,365000.0,2.0,RUE COMMINES,75003.0,32.0,2.0,2.364918,48.861447
2022-1353140,Appartement,210000.0,66.0,RUE CHAPON,75003.0,20.0,1.0,2.35321,48.86427
2022-1353144,Appartement,142500.0,5.0,RUE CALMELS,75018.0,15.0,1.0,2.339916,48.893375
2022-1353145,Appartement,295000.0,1.0,RUE PIXERECOURT,75020.0,30.0,1.0,2.394878,48.870454
2022-1353149,Appartement,188010.0,38.0,RUE D AVRON,75020.0,19.0,2.0,2.402088,48.851681
2022-1353154,Appartement,312090.0,74.0,AV JEAN JAURES,75019.0,32.0,2.0,2.377781,48.88443
2022-1353162,Appartement,150000.0,35.0,RUE SAINT-GEORGES,75009.0,13.0,1.0,2.336877,48.877025
2022-1353163,Appartement,1523850.0,155.0,RUE DU FG POISSONNIERE,75009.0,138.0,5.0,2.349509,48.880687
2022-1353168,Appartement,196550.0,25.0,RUE JEAN ET MARIE MOINON,75010.0,19.0,2.0,2.37191,48.874546
2022-1353169,Appartement,360000.0,12.0,RUE DES ENVIERGES,75020.0,38.0,2.0,2.38645,48.871625
2022-1353171,Appartement,1080000.0,15.0,BD DE BONNE NOUVELLE,75002.0,80.0,3.0,2.350301,48.869889
2022-1353173,Appartement,753000.0,2.0,VLA ORNANO,75018.0,60.0,3.0,2.345251,48.896391
2022-1353186,Appartement,1123600.0,3.0,RUE ETIENNE MARCEL,75001.0,110.0,4.0,2.350362,48.863311
2022-1353188,Appartement,532400.0,7.0,RUE CHATEAUBRIAND,75008.0,35.0,2.0,2.302063,48.873295
2022-1353189,Appartement,380000.0,2.0,PL CHARLES BERNARD,75018.0,33.0,2.0,2.343103,48.893378
2022-1353192,Appartement,282000.0,18.0,RUE JEAN-BAPTISTE PIGALLE,75009.0,27.0,1.0,2.333366,48.878715
2022-1353198,Appartement,599900.0,48.0,RUE DE BELLEVILLE,75020.0,60.0,1.0,2.381385,48.87302
2022-1353199,Appartement,530000.0,15.0,RUE LA BRUYERE,75009.0,40.0,2.0,2.335638,48.878914
2022-1353202,Appartement,215000.0,8.0,RUE DROUOT,75009.0,23.0,2.0,2.340717,48.872657
2022-1353203,Appartement,937000.0,27.0,RUE MARBEUF,75008.0,55.0,3.0,2.304234,48.869357
2022-1353205,Appartement,305000.0,10.0,RUE GUSTAVE ROUANET,75018.0,41.0,2.0,2.340625,48.896686
2022-1353209,Appartement,321000.0,3.0,RUE DU DOBROPOL,75017.0,27.0,1.0,2.28568,48.882418
2022-1353211,Appartement,326000.0,42.0,RUE NOLLET,75017.0,25.0,2.0,2.32277,48.886464
2022-1353213,Appartement,307750.0,69.0,RUE MARX DORMOY,75018.0,38.0,2.0,2.359112,48.88966
2022-1353214,Appartement,429000.0,114.0,RUE VIEILLE DU TEMPLE,75003.0,40.0,1.0,2.36347,48.861147
2022-1353222,Appartement,150000.0,9.0,RUE DE PANAMA,75018.0,12.0,1.0,2.351917,48.8877
2022-1353223,Appartement,361000.0,62.0,RUE DU FBG SAINT DENIS,75010.0,28.0,2.0,2.354855,48.872335
2022-1353224,Appartement,1455000.0,31.0,RUE BOISSY D ANGLAS,75008.0,85.0,2.0,2.322095,48.869672
2022-1353228,Appartement,480000.0,35.0,RUE DES MARONITES,75020.0,53.0,3.0,2.384231,48.869706
2022-1353230,Appartement,210000.0,52.0,RUE CHAMPIONNET,75018.0,21.0,1.0,2.347709,48.895824
2022-1353247,Appartement,404500.0,123.0,RUE SAINT ANTOINE,75004.0,33.0,2.0,2.360161,48.854965
2022-1353248,Appartement,136000.0,12.0,RUE COMMINES,75003.0,10.0,1.0,2.365951,48.861836
2022-1353258,Appartement,323000.0,97.0,RUE SAINT-HONORE,75001.0,24.0,1.0,2.343072,48.861132
2022-1353259,Appartement,163000.0,38.0,RUE LEGENDRE,75017.0,18.0,1.0,2.31517,48.884147
2022-1353260,Appartement,275000.0,83.0,RUE BOURSAULT,75017.0,28.0,1.0,2.317027,48.886462
2022-1353265,Appartement,185700.0,14.0,RUE DE CLICHY,75009.0,21.0,1.0,2.330846,48.878275
2022-1353269,Appartement,298395.72,45.0,RUE DU PRE ST GERVAIS,75019.0,32.0,2.0,2.397201,48.878872
2022-1353271,Appartement,102000.0,49.0,RUE DE BUZENVAL,75020.0,10.0,1.0,2.401291,48.851691
2022-1353272,Appartement,130000.0,86.0,RUE DES ARCHIVES,75003.0,9.0,1.0,2.36075,48.863106
2022-1353278,Appartement,340410.0,21.0,RUE AU MAIRE,75003.0,25.0,1.0,2.356259,48.864487
2022-1353280,Appartement,279000.0,82.0,RUE DOUDEAUVILLE,75018.0,32.0,1.0,2.350473,48.888673
2022-1353283,Appartement,389662.0,16.0,RUE VERNIER,75017.0,30.0,2.0,2.291182,48.883487
2022-1353284,Appartement,350000.0,44.0,RUE BLANCHE,75009.0,20.0,1.0,2.331794,48.879664
2022-1353285,Appartement,447000.0,5.0,RUE DELOUVAIN,75019.0,37.0,2.0,2.387943,48.875771
2022-1353286,Appartement,381450.0,54.0,RUE DES GRANDS CHAMPS,75020.0,34.0,1.0,2.403228,48.850772
2022-1353291,Appartement,245000.0,49.0,RUE D AMSTERDAM,75008.0,16.0,1.0,2.326696,48.879939
2022-1353296,Appartement,109500.0,25.0,RUE DES DAMES,75017.0,12.0,1.0,2.324411,48.884351
2022-1353303,Appartement,255000.0,116.0,BD DE CHARONNE,75020.0,29.0,1.0,2.39681,48.854769
2022-1353305,Appartement,570000.0,40.0,RUE D ENGHIEN,75010.0,61.0,2.0,2.349327,48.872577
2022-1353310,Appartement,67500.0,110.0,RUE DU FBG POISSONNIERE,75010.0,8.0,1.0,2.349589,48.878909
2022-1353312,Appartement,185000.0,4.0,VC AB 20,75020.0,17.0,1.0,2.397801,48.857479
2022-1353323,Appartement,125000.0,25.0,RUE JOUFFROY D'ABBANS,75017.0,10.0,1.0,2.309999,48.885925
2022-1353325,Appartement,72200.0,15.0,RUE M. ELEONORE DE BELLEFOND,75009.0,9.0,1.0,2.347426,48.877473
2022-1353335,Appartement,558370.0,21.0,RUE DE LA PLAINE,75020.0,51.0,2.0,2.401669,48.850224
2022-1353336,Appartement,571550.0,34.0,AV DE CLICHY,75018.0,62.0,3.0,2.327083,48.885825
2022-1353341,Appartement,250000.0,6.0,RUE DE CASTELLANE,75008.0,32.0,1.0,2.325464,48.872458
2022-1353344,Appartement,60000.0,57.0,BD DE STRASBOURG,75010.0,6.0,1.0,2.355693,48.873093
2022-1353345,Appartement,393000.0,68.0,AV DE FLANDRE,75019.0,44.0,2.0,2.375136,48.888664
2022-1353348,Appartement,262000.0,24.0,RUE BARON,75017.0,26.0,1.0,2.323428,48.89503
2022-1353350,Appartement,205000.0,91.0,RUE CHAMPIONNET,75018.0,25.0,1.0,2.34243,48.895636
2022-1353351,Appartement,458180.0,19.0,RUE DE TURENNE,75004.0,33.0,2.0,2.363626,48.855847
2022-1353352,Appartement,217100.0,67.0,RUE DULONG,75017.0,18.0,1.0,2.314884,48.886087
2022-1353355,Appartement,472500.0,28.0,RUE DE CHAZELLES,75017.0,36.0,1.0,2.306436,48.880624
2022-1353356,Appartement,720000.0,4.0,RUE DAUTANCOURT,75017.0,58.0,4.0,2.323738,48.888911
2022-1353362,Appartement,427950.0,21.0,RUE DAUTANCOURT,75017.0,39.0,2.0,2.324561,48.890018
2022-1353363,Appartement,294500.0,5.0,RUE DE THIONVILLE,75019.0,29.0,1.0,2.381469,48.888674
2022-1353370,Appartement,675000.0,114.0,RUE NOLLET,75017.0,70.0,3.0,2.317831,48.889317
