ID,Lien source,ImageURL,Prix,Features,Classe de performance énergétique,Classe d'émission à effet de serre,Description
63246378,https://immobilier.lefigaro.fr/annonces/annonce-63246378.html,"['https://lh3.googleusercontent.com/XB0QIAF-4JvA0knaRQMQz_oiXn-FJfaZgc2uv_8xz8ncNPuYlEbLcbYvOnt_MCt1Q-1e7qZPVkQot4YQQIiRLPrQLkLB0yNuptwUFg=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/Revqd2oqSRdD5FjR3CCmlJ0K8h3O7LKC2z3EjMtBQKfdG8BbeUQHI4KBFYNuPb-WZycI52OoyuaOrsjeS0yQJp2cYuIWt53R8X_r7hY=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/xMP-lH0SRwFvJQ1LrJJGbsvD9H8A3B5ZfYZ75nk8iKg5Qt_YonzfDQNWnDEfWdkAI8U7v4uNSZpbDLost5gUUnyAm1NWHzVO4lvmKA=rj-w940-h605-l80']",1 360 000,"98.74m² de surface, 5 pièces, 2 chambres, gaz, Exposition Ouest-Est, Ascenseur, Cheminée",D,D,"Rue Saint Dominique, dans un immeuble ancien, appartement familial de cinq pièces (98.74m² carrez), traversant et entièrement rénové, sur une une charmante copropriété arborée et sécurisée, au calme d'une cour ouverte, au premier étage, accessible par ascenseur.Il se compose comme suit: une entr"
62541142,https://immobilier.lefigaro.fr/annonces/annonce-62541142.html,"['https://lh3.googleusercontent.com/qDPDsIrhCrhz1Hc_G3nvdKKqwh_Zvyx5SvLvEbVRQ9khT3R35CxDPxfs1YfC6v2WHgeKNpiKQTwrGTjqmXxbpGZZj7SBR6wrwFwTjg=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/F5BRkEdWfBjZdV0Z_sr0gI3r62A_zVbd2u4gpOBnb75tlffUeejp4W6qqd6t3WPiJjMYad_nRjSpJ9unWukJxeAQWtkz9BKrfJbyag=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/YTKvTSeU27l8DOoaiq9ejFvGYlXCJ1sCGHd9TL3wG7nlk8-zVgFN3wqLGX-DjrnFgCFGnBJSWy4jl2RkOzOGqs_M1cf6L9sh6YVOOQ=rj-w940-h605-l80']",1 350 000,"150m² de surface, 5 pièces, 3 chambres, 2 salles de bain, gaz, Ascenseur, Cave, Digicode, Gardien",E,E,"PARIS 17ème - PORTE MAILLOTAu sein d'un joli immeuble art déco avec gardien, situé au 4ème étage avec ascenseur. L'appartement est spacieux avec une belle hauteur sous plafond et offre une vue dégagée grâce à son exposition Sud Est.Il nécessite une rénovation pour restaurer son charme d'origine ou"
62073452,https://immobilier.lefigaro.fr/annonces/annonce-62073452.html,https://lh3.googleusercontent.com/AJql4KG6jdkXE-wRYLz-gMopA7LNsECuItLyERqZ3BKgZOcX4so7RSkTV4AZPZsKPBl1WkEpx-mcggvQ37tJ1NZufxw5F3S54M7SRw=rj-w940-h605-l80,1 350 944,"111m² de surface, 4 pièces, 2 chambres, 1 salle de bain, Exposition Ouest, Ascenseur, Cave",Non communiqué,Non communiqué,"75016 SUCHETFirst Immobilier vous propose, à proximité immédiate du jardin du Ranelagh, dans un immeuble semi-récent de standing, en étage élevé un appartement de cinq pièces, d'une surface de 111m².Cet appartement très lumineux et traversant se compose d'une entrée, un double séjour avec de gra"
56879206,https://immobilier.lefigaro.fr/annonces/annonce-56879206.html,"['https://lh3.googleusercontent.com/ucCRUE3lfcY2XdGbqXntdox6OM3avUGKCdJ_P0jaUQQb3HPBJmmhpKUNS8tmne-L803M-GQ54j6Nr0kH2-BNuDxqcmVMjKvHBjw8qg=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/erp1LdlKk6yzJp4PXd3a6hsbDsw6xCfWz0QAF2idNyGn3r_Tb0b-rqd8HxZWHtRVWBNcOPcfX_xkeIuDgcuv0AoEkv7Rn_v_d92KXVI=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/oUspwwnWd_lFBvH-sS1DkXcSCG105FhGsfTK0U7nsfVKbRu4z6m1P-387Au6paME5MmbvY5oPp8St40t29IJ_0krR8igKXx26TtNXU0=rj-w940-h605-l80']",1 356 000,"98.78m² de surface, 5 pièces, 3 chambres, 1 salle d'eau, gaz, Exposition Ouest-Est, Ascenseur, Cave, Cheminée",D,D,"Au cœur du quartier Gros Caillou, à l’étage noble d'un bel immeuble ancien avec gardien et ascenseur, magnifique  appartement familial de 99 m² environ entièrement rénové donnant sur une large cour arborée. Traversant et baigné de lumière, il se compose comme suit :  une entrée, un salon, une salle "
61982534,https://immobilier.lefigaro.fr/annonces/annonce-61982534.html,https://immo-cdn.immo.fcms.io/assets/fi-classifieds-front/main-20231113100037-2cd107a0/assets/images/no-frames-full.svg,1 360 000,"84.32m² de surface, 3 pièces, 2 chambres, 1 salle d'eau, gaz, Exposition Ouest",E,E,"Rue emblématique.Unique - loft/atelier - Plain-pied. Volume, lumière, calme. Surface: 84 m2 loi Carrez.Sans travauxProfession libérale possible. Gardien."
62993952,https://immobilier.lefigaro.fr/annonces/annonce-62993952.html,"['https://lh3.googleusercontent.com/1i9LZQEeDn0WveVXxMZbrBgw55UrViD_c0vHw8I4BdRzweRMY-3pySDxu2_GQPSMmfBnI3SBzwcjQb8hPgh2sg6Qnse4mMDGj4hkvA=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/svkbyt3iqhRnqBG1jGFLaYn14RaNj9rIZyUO7SYMZ8dzBM98l2yp6JmHSPjImJ8AZM-ntM6Q8_K038E-vrjFpOK-r5n8Dn32iVaqSw=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/Q1CSjeaYdaLJVtMJAVi6ZrcBc_ou5PCH2VCbJzwD_Xu11mb1AiI6Gg6ERqe9MqD8hzlVW7fc5HIvDJBVT82ZgqvTyLTbF_8ToK96Ag=rj-w940-h605-l80']",1 370 000,"101m² de surface, 3 pièces, 2 chambres, 1 salle de bain",D,D,"Première néo-agence internationale pratiquant des honoraires réduits vous présente :Situé au coeur du Marais, à deux pas de tous commerces, transports et commodités, au 3e étage d'un bel immeuble 1705, calme, sécurisé et bien entretenu de la rue des Archives, sublime appartement 3 pièces, traver"
62211170,https://immobilier.lefigaro.fr/annonces/annonce-62211170.html,"['https://lh3.googleusercontent.com/UpF_QKQWxVg1XTjANpBZsroakitwEoYrnhxgzXtGV3skevV9Gy4pKuAqb_D1fM1r44zpD8kWpybdjWCctr7ahU860y9XPp0SlrEx=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/8dwGVOGMc4jtZBBlCx2XBxfeXrYuP9UcTHL3Bq0miVaUChUCwbeOdMdD8jHoD_-goWhJHP6RYi6tFRpasfqeT-rofsSXt3MG0O-J=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/SoYMKO3AS2xQUoCsMS-UOWgjTbezpHpeAv80buUBij_-nNnpzdvPK2IIlSxegzgLK58i4GI-e9YH0RasHx_oLUiQACLY_0b4EiwaNG0=rj-w940-h605-l80']",1 360 000,"115m² de surface, 4 pièces, 2 chambres, 2 salles de bain, Exposition Ouest, Ascenseur, Balcon, Cave, Parking",D,B,"Engel & Völkers vous invite à découvrir cet appartement de 114,65m² Carrez, au 9ème étage avec ascenseur d'un immeuble construit en 1977.L'appartement comprend une entrée, un salon, une salle à manger, une cuisine dînatoire aménagée et équipée, deux chambres (possibilité de trois), une salle de ba"
61711076,https://immobilier.lefigaro.fr/annonces/annonce-61711076.html,https://lh3.googleusercontent.com/4oCJzVb1jHEfWH0x38_cCqP8loYeBKzN6LN9KUx2vVk450yQekxmUOeKU7M8dtHFqk6SzdcYajhxDVa4re1DkgaGFX2859EuOXBrOA=rj-w940-h605-l80,1 360 000,"84.32m² de surface, 3 pièces, 2 chambres, 1 salle d'eau, gaz",E,E,"Paris 06 - Saint-Germain-des-Prés – A découvrir en fond de cour pavée d’une copropriété du XVIIIe siècle très bien entretenue, cet appartement/atelier a été entièrement reconstruit en 2009. Environnement rare et propice à une déconnection totale, beaucoup de charme. Au rez-de-chaussée, ouvert sur un"
62640464,https://immobilier.lefigaro.fr/annonces/annonce-62640464.html,"['https://lh3.googleusercontent.com/smaTfzvQzxsr5gDk2bb8Qvd_wHKhWf_Iiv6x7WpBfDmnJZxW-8qYR0MQ3QOHkzxRI1r7NLH2wtlfCTsLhFADKFl_JgWCmcKulkdzhw=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/EaJC4X1sNDEJo3THCP16KHFq1KtpLpuEvakTRo6eU61ZUZFy2mUizWAiNMilu_BHZ81iLQhzdYeeCy8yTfNQKXK2klZHpAxbYoBv=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/PjncmbE3UmmEYnzN38e8CM3k22ocgxGvJFDU_vL7_LzSpJ9nvwIqycb7J0c2gOeumNVlwv_MQSMN47s9qvYbpgvRw-5oJPGTNj0BLK4=rj-w940-h605-l80']",1 365 000,"124m² de surface, 4 pièces, 2 chambres, 1 salle de bain, 1 salle d'eau, gaz, Ascenseur",D,D,"Appartement familial de 4 pièces dans un bel immeuble en pierre de taille. Ce bien comprend un beau séjour/salle à manger donnant sur une cuisine indépendante équipée, 2 chambres, 2 salles de bain et un WC séparé. Possibilité de créer une 3ème chambre. Il bénéficie du charme de l'ancien (parquet e"
62889166,https://immobilier.lefigaro.fr/annonces/annonce-62889166.html,"['https://lh3.googleusercontent.com/JXnzFNX_NWz3hvwL2ojVXZjtk82GZ2k6p3Jlh1lcbLF7d5kj57fhQ8ryXKQ2HpJzkCEOt6ppX-v_wa3rsjBSKsuZovCc_LkV_lDsvg=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/gjmLyrG0L6mx1p8wcQ9FChv1TR_lXQPU0Z3w_JSSK14ZUuWIr-UN8AqsRF_rtCPqw--dlr0WgjG2KSPIO3Zj9w550d_JLkW24JrX=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/gjr4xaUL-1JPcQKYdHW7wqzERQnH-FHmLhLEWmpUa5yRjivF2JZ6Tbn_LTTb4PjLCD4pSg8GaWceJrjkjRntrlGB04FbMrU4keWT_g=rj-w940-h605-l80']",1 375 000,"160m² de surface, 7 pièces, 6 chambres, 1 salle de bain, 2 salles d'eau, chauffage électrique",D,B,"Vous recherchez LE COUP DE COEUR à PARIS ? Nos agences CITYLIFE vous proposent ce magnifique LOFT/ATELIER en exclusivité situé dans un calme absolu.Disposant d'une surface de 220m² et répartie sur deux niveaux, dès votre arrivée, vous serez séduits par les beaux volumes de ce magnifique lieu."
